--
[-2, 0, 1.5708, 1, 1, 0, 0, 0]
[-3.55165, 0.0769387, 1.8266, -1.70016, 0.521868, 1.27933, 1.0425, -0.225631]
[-0.527092, -0.495754, 1.90103, 1.67199, 1.70006, -1.98787, 0.297085, 0.685473]
[-5.41221, -1.22709, 2.23766, 0.957983, 1.63772, -0.115897, -0.528477, -2.00186]
[-0.543716, 0.265557, 1.44208, 1.68226, 1.70657, 0.531207, 0.86808, 1.27511]
[-4.40263, -0.547046, 3.56534, 0.964904, 1.64309, 0.879522, -1.74783, -0.232351]
[0.345472, 0.0969563, 3.52987, 1.6709, 1.70022, 0.466176, 0.712561, -0.758737]
--
[-2, 0, 1.5708, 1, 1, 0, 0, 0]
[-3.5012, -0.239279, 1.54937, -1.70001, 0.488023, 1.31455, 0.406734, -0.331435]
[-0.534909, -0.48718, 1.86179, 1.65313, 1.70944, -1.78424, -0.0334197, 0.5918330000000001]
[-4.38912, 0.512202, -0.369278, 0.965628, 1.65852, -1.23604, -1.14525, -0.855807]
[-0.416485, -0.607245, 2.21128, 1.66439, 1.70044, 0.734895, 0.885047, 1.43286]
[-3.74168, -0.0909845, 1.27915, -1.70213, 0.495456, 0.950697, 0.530936, -0.407906]
[-0.386923, 0.122019, 2.64909, 1.65244, 1.70038, -1.59689, -0.293141, 0.289006]
